"Feature","Gain","Cover","Frequency"
"ctrx_quarter_normalizado_min3",0.0928570446877811,0.0102655546466736,0.00544399821508255
"ctrx_quarter_normalizado_max3",0.0535889795010053,0.00259931105356594,0.00169567157518965
"ctrx_quarter_normalizado",0.0357286001370936,0.00468406556354748,0.00267737617135207
"mcuentas_saldo",0.0243110742810136,0.00951177315644709,0.00687193217313699
"mcuentas_saldo_min3",0.0231816253379972,0.010252384464021,0.00392681838464971
"mpayroll_sobre_edad",0.0189967713707594,0.0161959779733251,0.00499776885319054
"mpasivos_margen",0.0186193078911652,0.00277505923405086,0.00401606425702811
"cpayroll_trx",0.017989436126068,0.00950173717487879,0.0037483266398929
"ctrx_quarter_avg3",0.0156470839995755,0.00419793749055372,0.0034805890227577
"ctrx_quarter",0.0149656258011407,0.00268190767223045,0.00312360553324409
"ctrx_quarter_min3",0.0138323064529309,0.00540385711294126,0.00419455600178492
"mprestamos_personales_min3",0.0137506000984281,0.00240422644605285,0.00142793395805444
"mprestamos_personales",0.0136850611810788,0.012044624436305,0.00410531012940652
"mpayroll",0.0117620842437084,0.0141008033684742,0.00660419455600179
"ccomisiones_mantenimiento_tend3",0.0105009138129589,0.003262879040094,0.00232039268183847
"ctrx_quarter_lag1",0.00901996839635247,0.00215322474905255,0.00223114680946006
"cpayroll_trx_min3",0.00872041310457764,0.00504567554600817,0.00160642570281125
"mcomisiones_mantenimiento_tend24",0.00826954890935788,0.00360575736966011,0.0035698348951361
"mcomisiones_avg24",0.00820102005200602,0.00503656715719883,0.00473003123605533
"mpayroll_min3",0.0066284696051082,0.00530718315042382,0.0036590807675145
"mcomisiones_otras_avg24",0.00652925071942435,0.003692199207647,0.00481927710843374
"vm_status05_max3",0.00631945308022265,0.000909523088562213,0.00035698348951361
"mcomisiones_otras_min24",0.00591946869879962,0.00486685854542643,0.00651494868362338
"mtarjeta_visa_consumo",0.00585487416090342,0.00207503726072689,0.00267737617135207
"vm_status01_max24",0.0050790569292776,0.000732450943082128,0.000624721106648817
"mcomisiones_tend3",0.00492947974605797,0.00447918198054547,0.00285586791610888
"mcaja_ahorro",0.00484751228456133,0.00208370432787117,0.00464078536367693
"mcomisiones_mantenimiento",0.00482473133537719,0.00402623067235343,0.00312360553324409
"ctrx_quarter_normalizado_avg3",0.00414056256774136,0.00369248116315523,0.00330209727800089
"mpasivos_margen_min3",0.00394356560884604,0.00219427583652614,0.00258813029897367
"mcomisiones_mantenimiento_max24",0.0039232019881821,0.00474871918747811,0.00383757251227131
"cproductos_tend3",0.00387189476775055,0.00158452457526457,0.00116019634091923
"mpayroll_sobre_edad_min3",0.00377427452742491,0.0035040858479171,0.00419455600178492
"mcuentas_saldo_avg3",0.0037423469193356,0.000804276044069907,0.00232039268183847
"vm_status05_avg3",0.003662604657129,0.000214519106022385,0.000178491744756805
"mcaja_ahorro_avg3",0.00355375566838982,0.000489691336807905,0.00169567157518965
"mcomisiones_mantenimiento_delta1",0.00349928017620018,0.00222817587850114,0.00223114680946006
"mcuenta_corriente_lag1",0.00332058550643758,0.000648244317602514,0.000892458723784025
"Visa_msaldototal_tend24",0.00318846365478891,0.00150899318955267,0.00205265506470326
"cprestamos_personales_max3",0.00313945960945359,7.86941909781339e-05,0.000178491744756805
"mrentabilidad_max24",0.00282756090003564,0.000829071783547284,0.00196340919232485
"ctrx_quarter_delta1",0.00282472434206226,0.00334034325124637,0.00401606425702811
"ccomisiones_mantenimiento_delta1",0.00275474390054444,0.00221856487335104,0.00151717983043284
"mcuentas_saldo_max3",0.00275431031417112,0.00213334075625477,0.0037483266398929
"mcomisiones_otras_tend3",0.00267724285099441,0.00131741872380146,0.00205265506470326
"ctrx_quarter_normalizado_delta1",0.00266592482093584,0.00255113343846405,0.00330209727800089
"mcomisiones_min24",0.00262384395126504,0.00246193334007057,0.0037483266398929
"mactivos_margen",0.00261668480230579,0.00210411545487999,0.00258813029897367
"ctrx_quarter_tend3",0.00257275717221172,0.00408284243483194,0.00392681838464971
"ccajas_consultas_delta1",0.00253634565322635,0.00244863648175492,0.000981704596162427
"mcuentas_saldo_delta1",0.00252352008973798,0.00441564391971262,0.00232039268183847
"ccomisiones_otras_tend24",0.00243938635511125,0.0013540606809362,0.00223114680946006
"mcuentas_saldo_tend24",0.00242532326758009,0.00180259468616597,0.00240963855421687
"Master_Fvencimiento_max24",0.00240630815117887,0.000602175239344778,0.00142793395805444
"mpasivos_margen_avg3",0.0023811075126839,0.000779243298513149,0.00249888442659527
"mcuenta_corriente_avg24",0.00236493454453023,0.0014050006427564,0.00249888442659527
"vm_status01",0.002331875689948,0.00404345856253745,0.000981704596162427
"mactivos_margen_tend3",0.00232185547406156,0.00231971743350644,0.00178491744756805
"mpasivos_margen_max3",0.0022942572869174,0.0013910213703846,0.00321285140562249
"mrentabilidad_annual",0.00227591207846144,0.00197703524690257,0.00169567157518965
"mcomisiones_mantenimiento_max3",0.00227047697704324,0.00359734365384206,0.00232039268183847
"mpasivos_margen_lag1",0.00225407198894684,0.00101725461057631,0.00223114680946006
"mcomisiones_mantenimiento_min24",0.00213913498609428,0.00421954590689459,0.00214190093708166
"vmr_mpagominimo",0.00213685804726327,0.00111912636159329,0.00205265506470326
"mcomisiones_mantenimiento_avg24",0.00209103102747166,0.00146486102304712,0.00312360553324409
"mcuenta_corriente_min24",0.00208831196002236,0.000960246475861599,0.00169567157518965
