"Feature","Gain","Cover","Frequency"
"ctrx_quarter_normalizado_min3",0.106263936281693,0.00992782681049552,0.00477734175055451
"mcuentas_saldo",0.04523897297242,0.0108187905087253,0.00818972871523631
"ctrx_quarter_normalizado",0.0398049386231744,0.00617109624615658,0.00554512881760792
"ctrx_quarter_min3",0.0376355639708108,0.00686817444177653,0.00537450946937383
"ctrx_quarter",0.0364566917577335,0.00548077811528471,0.00443610305408633
"cpayroll_trx",0.0201931487990663,0.00938239654837597,0.00290052891997953
"mpayroll_sobre_edad",0.0198938555554057,0.0198812092328519,0.00639822555877837
"mpasivos_margen",0.0136131141699241,0.00455789664299121,0.0066541545811295
"mcomisiones_avg24",0.0131842656146495,0.00483807565566681,0.00571574816584201
"mpayroll",0.0124897477591243,0.0112455003425984,0.00375362566114997
"mprestamos_personales",0.0111026408681871,0.0171335851945204,0.00435079337996929
"ctrx_quarter_normalizado_avg3",0.0107396840065576,0.0040235563098761,0.00400955468350111
"mcomisiones_mantenimiento_tend3",0.00962024572042772,0.00453364170181601,0.00409486435761815
"mcomisiones_mantenimiento_tend24",0.00925292242438602,0.00767752533300036,0.0049479610987886
"mcaja_ahorro",0.00861511119872914,0.00181407193218892,0.00349769663879884
"ctrx_quarter_avg3",0.00847314691912314,0.00436550862307869,0.00452141272820338
"mprestamos_personales_avg24",0.00842934159346602,0.00140547308190992,0.000853096741170449
"vm_msaldopesos_max3",0.00595819948760018,0.00268728832119405,0.00358300631291588
"mprestamos_personales_min3",0.00591759680035496,0.00218830141530256,0.00127964511175567
"mpasivos_margen_avg3",0.00575053478026411,0.00090297778798462,0.00238867087527726
"mprestamos_personales_avg3",0.00567025923813272,0.00200728570684598,0.00145026445998976
"Visa_status_max12",0.00553365741412489,0.000537964241242717,0.000597167718819314
"vm_status01_max3",0.00546356935119066,0.00385543178818277,0.00119433543763863
"ccomisiones_mantenimiento_delta1.x",0.00545279181933147,0.00327850304715481,0.00119433543763863
"mpayroll_sobre_edad_min3",0.00537292673439799,0.0063969209154401,0.00366831598703293
"mprestamos_personales_max3",0.00516157643103129,0.00202099409130979,0.000853096741170449
"mcomisiones_avg12",0.00507437378860102,0.00363592221736011,0.00409486435761815
"ccomisiones_mantenimiento_tend3",0.00501723085313647,0.00314309210461575,0.00127964511175567
"cproductos_tend3",0.00460433276649692,0.00261828003997783,0.00162088380822385
"mcomisiones_otras_min24",0.004586053107729,0.00384251065176557,0.00580105783995905
"mcomisiones_mantenimiento_max24",0.00456928900262661,0.00295795190095845,0.00307114826821362
"mcomisiones_otras_avg12",0.00451593481924783,0.00412961659154694,0.00435079337996929
"ctarjeta_visa_transacciones",0.00429800195975207,0.00393935927558667,0.00366831598703293
"cpayroll_trx_min3",0.00421896098379483,0.00341825241099421,0.00196212250469203
"vm_msaldototal",0.00402476160055411,0.00473280690056456,0.00383893533526702
"mcomisiones_mantenimiento",0.00394819837583886,0.00377598819182695,0.00230336120116021
"cprestamos_personales",0.0039058759630205,0.00212497073277031,0.00119433543763863
"mtarjeta_visa_consumo",0.00382119330022897,0.00510341675407259,0.00554512881760792
"mprestamos_personales_tend24",0.00380788019660209,0.00419017051330609,0.00298583859409657
"vm_status01_max12",0.00375942450531201,0.00198859712278295,0.00102371608940454
"vm_status01_delta1",0.00367506331860991,0.000758397972815743,0.000255929022351135
"mpasivos_margen_min3",0.00365319545444197,0.00218557171827137,0.00392424500938406
"mcuentas_saldo_min3",0.00349934239409792,0.00863991467737214,0.00545981914349087
"cproductos_tend24",0.00348612291444746,0.0115388229748348,0.00392424500938406
"Master_Fvencimiento_max24",0.00337648720489965,0.00220663060351821,0.0041801740317352
"Visa_msaldototal_tend3",0.00327962508311053,0.00729110206220824,0.00554512881760792
"vm_status04_max12",0.00319025099215332,0.0035017905528968,0.00119433543763863
"vm_status01",0.0031172126389396,0.0100931745714157,0.00221805152704317
"mtarjeta_visa_consumo_min3",0.00308393424413297,0.00322413158967475,0.00469203207643747
"ctrx_quarter_tend12",0.00307949830575631,0.00333347349771381,0.00349769663879884
"ccomisiones_otras_tend24",0.00291945047586403,0.00164477937399165,0.00400955468350111
"Master_Fvencimiento_avg24",0.00286755902979539,0.00178496086855229,0.00409486435761815
"vmr_mpagominimo_tend12",0.0028346451564516,0.00324079643283534,0.00486265142467156
"mcaja_ahorro_avg3",0.00277632181060116,0.00292398043633839,0.00366831598703293
"mcaja_ahorro_max3",0.00267471487450411,0.000947003779286932,0.00196212250469203
"mactivos_margen_delta1.x",0.00266675241036901,0.00298989106763209,0.00400955468350111
"mcuenta_corriente_min24",0.00265214200277116,0.00320238386238712,0.00349769663879884
"mcuentas_saldo_tend12",0.00263936042361062,0.00216176602190538,0.00409486435761815
"chomebanking_transacciones_tend24",0.0026342665753106,0.00293148496391315,0.0049479610987886
"Visa_mconsumospesos_max12",0.00262501470104386,0.00267716533815992,0.00563043849172496
"ccomisiones_mantenimiento_avg24",0.00261655112698521,0.00303938073151876,0.00375362566114997
"mcuentas_saldo_tend24",0.00261089404546655,0.00515556765863857,0.0049479610987886
"ctrx_quarter_normalizado_lag1",0.00261037767420597,0.0022544131371299,0.00196212250469203
"ctrx_quarter_tend3",0.00259999790735878,0.00897930843442326,0.00810441904111926
"mactivos_margen_tend3",0.00258556424714909,0.00706945323038936,0.00571574816584201
"mcomisiones_otras_avg24",0.0025545160079729,0.00309141183746894,0.00358300631291588
"Visa_mpagominimo_tend12",0.00255302737630493,0.00286230554181722,0.00452141272820338
"mcomisiones_min12",0.00255155865696747,0.00319197421837949,0.00614229653642723
"cdescubierto_preacordado",0.00251910064438546,0.00114993835591084,0.000511858044702269
"Visa_fechaalta_min24",0.00250309196475318,0.00436851642403939,0.00332707729056475
"mcuenta_corriente_tend3",0.00242725834535725,0.00430180143061111,0.00383893533526702
"ctrx_quarter_delta1.x",0.00240488680247019,0.00325755540347977,0.00486265142467156
"ctrx_quarter_delta1.y",0.0023971463518611,0.00356742735878297,0.00503327077290565
"ctrx_quarter_normalizado_delta1.x",0.00239121752129193,0.00297988788321374,0.00452141272820338
"ccomisiones_otras_tend12",0.00237595139341745,0.00198005719288602,0.00332707729056475
"ccajas_consultas_max3",0.00237398244282095,0.00332198566616408,0.00153557413410681
"mpasivos_margen_tend12",0.00236923264615511,0.00163931570140729,0.00281521924586248
"mcuenta_corriente_avg24",0.00233781115734745,0.00183513081743576,0.00290052891997953
"mpasivos_margen_max3",0.00232812628744098,0.00159823333323578,0.00272990957174544
"mactivos_margen_min3",0.00231851804502886,0.00165537727296695,0.00324176761644771
"Visa_msaldopesos",0.00231495612901872,0.00391953260467366,0.00528919979525678
"Master_cconsumos_tend12",0.00230108339287592,0.0101224311048001,0.00332707729056475
"mcomisiones_mantenimiento_min24",0.00227485365969732,0.00300623074312125,0.00179150315645794
"mactivos_margen",0.00225689255076066,0.00259869724481838,0.00349769663879884
"cmobile_app_trx_avg24",0.00225037818405835,0.00226109190996011,0.00298583859409657
"Master_Fvencimiento_max12",0.00224364285354719,0.00133321740250143,0.00375362566114997
"ctrx_quarter_normalizado_tend3",0.00223081982552757,0.00557521793122406,0.00571574816584201
"cmobile_app_trx_avg12",0.00222557663164245,0.00189137198902652,0.00349769663879884
"vmr_msaldopesos_tend12",0.00221432511627583,0.00282432938061223,0.00341238696468179
"mcuenta_corriente_lag1.x",0.00220822173386714,0.00158029776904343,0.00298583859409657
"vmr_mpagominimo",0.00220475103960472,0.0026492950459011,0.00341238696468179
"Visa_mconsumospesos_tend12",0.00219629955321659,0.00242943035775307,0.00443610305408633
"mcuenta_corriente_tend12",0.00219078313032083,0.00264837944219471,0.00324176761644771
"mactivos_margen_max12",0.00218685990393185,0.00263088456576758,0.00358300631291588
"mrentabilidad_avg24",0.00217298744307837,0.00249604266665352,0.00281521924586248
"mcomisiones_min24",0.00217267736060002,0.00274816313210264,0.00520389012113974
"Visa_msaldopesos_delta1",0.00214707934812183,0.00382958523682638,0.00443610305408633
"mcuentas_saldo_tend3",0.00214434493343451,0.00572863289430735,0.00358300631291588
"mpasivos_margen_tend3",0.00213824719424207,0.00479789605563571,0.00383893533526702
"Visa_cconsumos_max24",0.00211831674571576,0.00133373082514052,0.00392424500938406
"Visa_cconsumos_avg24",0.00210645218112023,0.00171005250550847,0.00375362566114997
"mrentabilidad_annual_delta1",0.00208370066172765,0.00310046091148298,0.00400955468350111
"mcomisiones_otras_min12",0.00207225933719753,0.00251772193758927,0.00392424500938406
"cpayroll_trx_avg12",0.0020700969826197,0.00249678285095822,0.00213274185292612
"mrentabilidad_max24",0.00206610719326695,0.00104988939763938,0.00264459989762839
"mcheques_depositados_max24",0.00206418850421378,0.00868711961051485,0.00221805152704317
"mcuentas_saldo_max3",0.00206357655920427,0.00223138613176653,0.00366831598703293
"mcuentas_saldo_delta1.x",0.00206224813618548,0.00399105237829945,0.00349769663879884
"mprestamos_personales_tend3",0.00204266766910269,0.0102938928736476,0.00162088380822385
"ccallcenter_transacciones_avg12",0.00204160219056141,0.00441877194336271,0.00656884490701246
"Visa_msaldopesos_tend12",0.00201882151261857,0.00256901713775675,0.00298583859409657
"ctrx_quarter_tend24",0.00201631134173319,0.00379830924106156,0.00332707729056475
"ctransferencias_recibidas_avg12",0.00201152011456333,0.00517155221680236,0.00545981914349087
"mrentabilidad_max12",0.00200305049488764,0.00191992684480413,0.0024739805493943
"Visa_mpagospesos_tend24",0.00199817852449636,0.00277143401321957,0.00366831598703293
"Visa_Fvencimiento_avg24",0.00199413716796007,0.0011466182228447,0.00341238696468179
"mautoservicio_avg24",0.00199367182495089,0.00348177134849412,0.00332707729056475
"mpasivos_margen_delta1",0.00197451185876835,0.00200219854419695,0.00298583859409657
"mcomisiones_mantenimiento_max3",0.00196361091168318,0.00373122201621995,0.00255929022351135
"Master_fechaalta_min12",0.00195890352953225,0.00343040769197476,0.00358300631291588
"mrentabilidad",0.00192073585703438,0.00145435947419566,0.00255929022351135
"mrentabilidad_annual_max12",0.00190605048690027,0.00175445500674612,0.00230336120116021
"mcuenta_corriente_min12",0.00190292998463682,0.00140177216038646,0.00281521924586248
"ctrx_quarter_normalizado_tend12",0.00189652189282871,0.00370223930824309,0.00349769663879884
"Visa_Fvencimiento_max24",0.00188894522881637,0.00140460882046745,0.00290052891997953
"mtransferencias_recibidas_max12",0.00188833940844129,0.00200092782316519,0.0049479610987886
"Visa_msaldopesos_min12",0.00187870268707619,0.00362627415026713,0.00341238696468179
"ccallcenter_transacciones_avg24",0.00187327663754577,0.00528355964404272,0.00682477392936359
"ccaja_seguridad_avg3",0.00186733625349308,0.006929113430515,0.00136495478587272
"vm_msaldototal_min3",0.00185103300117756,0.00217184621971959,0.00264459989762839
"Visa_mlimitecompra_tend12",0.00184916986408945,0.00305473634694966,0.00349769663879884
"Master_fechaalta_lag1",0.00183865158230013,0.00233626554136746,0.00392424500938406
"mcomisiones_otras_min3",0.00183631814564996,0.00187788608770631,0.00307114826821362
"mcomisiones",0.00182421139757987,0.00157116740311154,0.00264459989762839
"numero_de_cliente",0.00180383405210182,0.00239770511717905,0.00324176761644771
"Visa_msaldototal_tend12",0.00178335185253277,0.00214870797278442,0.00366831598703293
"mrentabilidad_avg12",0.0017790623571751,0.00110958333647805,0.00204743217880908
"mcomisiones_mantenimiento_avg24",0.0017655071996898,0.00304989306005421,0.00307114826821362
"ctransferencias_recibidas_tend24",0.00176242779958016,0.00376174071359209,0.00366831598703293
"mcomisiones_mantenimiento_tend12",0.0017610624312089,0.00328568240705814,0.00358300631291588
"ccomisiones_mantenimiento_avg12",0.00174987495169347,0.00247666096202772,0.00332707729056475
"mcomisiones_max12",0.0017497233114598,0.00236976209004636,0.00290052891997953
"mcuenta_debitos_automaticos_tend12",0.00173247194810006,0.00636999617654161,0.00221805152704317
"mrentabilidad_annual_lag1.x",0.00173104923575146,0.00189751594660767,0.00213274185292612
"Visa_mpagospesos_tend12",0.00170426282184033,0.00317696944175197,0.00503327077290565
"mactivos_margen_min24",0.00169897758778704,0.00117331620007758,0.00290052891997953
"ccomisiones_otras_avg24",0.00169528001872495,0.00386190519195734,0.00332707729056475
"cmobile_app_trx_tend24",0.00169333558045802,0.00314138925286275,0.00349769663879884
"vm_Fvencimiento_max12",0.00168616225163545,0.00116328306600529,0.00281521924586248
"mcomisiones_otras_tend3",0.00166673561492296,0.00289963992472334,0.00332707729056475
"vm_msaldopesos_tend12",0.00166642215270118,0.00396205255623463,0.00375362566114997
"mcomisiones_mantenimiento_delta1.y",0.00166131772168666,0.00244819167668996,0.00196212250469203
"Master_Fvencimiento",0.00164894873119731,0.00189280101537199,0.00349769663879884
"ccallcenter_transacciones_max12",0.00164775089072062,0.00414148093303201,0.00460672240232042
"ccallcenter_transacciones_avg3",0.00164647171836271,0.00433905024307738,0.00272990957174544
"mrentabilidad_tend12",0.00163803577187295,0.00339612817377125,0.00383893533526702
"Visa_msaldopesos_tend24",0.0016361756994801,0.00159214499644053,0.00298583859409657
"ccallcenter_transacciones_max24",0.00163153760247466,0.00494034944537434,0.0041801740317352
"Visa_msaldototal_tend24",0.00163139631537298,0.00102073982730482,0.00213274185292612
