"Feature","Gain","Cover","Frequency"
"ctrx_quarter_normalizado_min3",0.118601625394893,0.011190981344391,0.00533729985125558
"ctrx_quarter_normalizado",0.057879954662483,0.00681768674879268,0.00507480969463645
"mcuentas_saldo_min3",0.0276893190206117,0.0121812632989606,0.00647475719660513
"ctrx_quarter",0.0216219834087916,0.00519850215495165,0.00332487531717561
"mpayroll",0.0199191418434348,0.0144759020999629,0.00472482281914428
"ctrx_quarter_normalizado_max3",0.0195393006176751,0.00244276096617933,0.00218741797182606
"mpayroll_sobre_edad",0.018974054481924,0.0182664518893829,0.00586228016449383
"ccomisiones_mantenimiento_tend6",0.0181502196799428,0.00523481229137059,0.00332487531717561
"mprestamos_personales",0.0172014941315539,0.0141063322355416,0.00358736547379473
"mcuentas_saldo",0.0170123436151571,0.00817971925281164,0.00568728672674775
"vm_status01",0.0167083691843895,0.0105229345435155,0.00253740484731823
"ctrx_quarter_avg3",0.0133175761263814,0.00289257484752458,0.00332487531717561
"mpasivos_margen",0.0126742230337843,0.00354016474599444,0.00411234578703299
"mcomisiones_mantenimiento_tend6",0.0122116881300457,0.00667277936332954,0.00516230641350949
"cpayroll_trx",0.0118034021174819,0.00750429533294247,0.00332487531717561
"mcaja_ahorro",0.00949673313602902,0.00196995037665168,0.00446233266252516
"mcomisiones_avg24",0.00912728070093209,0.00340130183867444,0.00332487531717561
"ctrx_quarter_min3",0.00872864305086911,0.00435446888020764,0.00437483594365211
"cpayroll_trx_min3",0.0080473618196462,0.00801074645043213,0.00288739172281039
"mcomisiones_mantenimiento_tend24",0.007439703597644,0.00311117121455957,0.00236241140957214
"mtarjeta_visa_consumo",0.00689154221539649,0.00458381290916644,0.00463732610027124
"mprestamos_personales_lag1.x",0.00504175888249065,0.000475017235091713,0.000524980313238254
"mprestamos_personales_min3",0.00492314247549,0.00193177540839331,0.00113745734534955
"vm_status04_max12",0.00490685018872164,0.00129899166898274,0.000612477032111296
"ctarjeta_visa_transacciones",0.00437922270963366,0.00261116696352179,0.00306238516055648
"mcomisiones_mantenimiento_tend12",0.00423627702779234,0.00317487837002102,0.00349986875492169
"mpayroll_min3",0.00408436478530974,0.00480764032421508,0.00367486219266778
"vm_status01_max24",0.00406955608110819,0.00216260351466285,0.00139994750196868
"mcomisiones_avg12",0.0036441919826552,0.00209830792038431,0.00253740484731823
"mprestamos_personales_min6",0.00357493668439445,0.00137359359607227,0.00078747046985738
"mcomisiones_otras_avg24",0.00355851259407649,0.0030805940298512,0.00314988187942952
"mpasivos_margen_avg6",0.00354743847211719,0.000489338797478116,0.00157494093971476
"mcuenta_corriente_max3",0.00342135442298522,0.000722139904487294,0.000699973750984338
"mcuentas_saldo_tend6",0.00333311906349356,0.00589408875781799,0.00323737859830256
"vm_msaldototal",0.00318211473485105,0.00284724775158501,0.00349986875492169
"mcomisiones_otras_min24",0.00301982917881851,0.00425011185205125,0.00586228016449383
"mpasivos_margen_max3",0.00300076323021363,0.000938862786170831,0.00209992125295301
"mcomisiones_mantenimiento_max24",0.00300064169685564,0.00309531798054634,0.00332487531717561
"mcomisiones_otras_min12",0.00299167650492707,0.00236926236187183,0.00332487531717561
"vmr_mpagominimo",0.00297158578123367,0.00246849651091477,0.00262490156619127
"mprestamos_personales_avg3",0.00293594860988592,0.000371516904624906,0.000612477032111296
"mcomisiones_mantenimiento_delta1.x",0.00285667624074069,0.0036182540384264,0.0022749146906991
"ccomisiones_otras_tend12",0.00281506599703004,0.00145210691059302,0.00323737859830256
"ccajas_consultas_tend6",0.00273730090593776,0.00773721758911987,0.00201242453407997
