"Feature","Gain","Cover","Frequency"
"ctrx_quarter",0.177844151079245,0.0246318976130322,0.0257897554881314
"mcuentas_saldo",0.0670076441181739,0.0352128865177279,0.028823844369088
"cpayroll_trx",0.0639751550024416,0.0204261385696539,0.00749598429412815
"mpayroll",0.0516883123170417,0.0347561116649541,0.014099589505622
"mprestamos_personales",0.0364442191893691,0.0288258885756071,0.0129394966981974
"mpasivos_margen",0.0344371732068135,0.0173203424538249,0.0175798679278958
"mcuenta_corriente",0.0316177667346205,0.018697678077913,0.0239157594145993
"mcaja_ahorro",0.0313651370360682,0.0209435976307226,0.0270390862038194
"mtarjeta_visa_consumo",0.0262238536597533,0.0160915713594248,0.0182937711940032
"Visa_msaldototal",0.0239658419327876,0.0164647988308585,0.0213278600749598
"mrentabilidad_annual",0.0232079836626134,0.0368490046817233,0.0271283241120828
"Visa_msaldopesos",0.0185867594194643,0.0219491669982672,0.0316794574335178
"cprestamos_personales",0.0158890411776633,0.0103586860324257,0.00472960913796181
"ctarjeta_debito_transacciones",0.0156909010653535,0.0125074785853887,0.0160628234874175
"mcomisiones_mantenimiento",0.0156406962952998,0.0174022027542509,0.0132964483312511
"mactivos_margen",0.0145923565959218,0.0183529419920828,0.0210601463501696
"Visa_status",0.0125758077568661,0.0207300574382831,0.00339104051401035
"mrentabilidad",0.0118230228470297,0.0148172675183832,0.0164197751204712
"Visa_fechaalta",0.0115877991126187,0.018353181686639,0.0218632875245404
"Master_Fvencimiento",0.0113462987960923,0.0142296977996491,0.024272711047653
"ctarjeta_visa_transacciones",0.0112045300199649,0.0124243368409897,0.0191861502766375
"Master_fechaalta",0.0106333046961897,0.0152192721650834,0.0198108156344815
"cliente_edad",0.0104978722909836,0.0145724656244127,0.0237372835980725
"mcomisiones_otras",0.0102964914125523,0.0157433504835096,0.0203462430840621
"Visa_mpagominimo",0.00986153609180501,0.0139623185222963,0.0192753881849009
"cdescubierto_preacordado",0.00869082061728671,0.0117566353883402,0.00410494378011779
"numero_de_cliente",0.00859696161305346,0.011698537115545,0.0223094770658576
"mtransferencias_recibidas",0.00831304335175663,0.00751671065169327,0.015973585579154
"ccomisiones_otras",0.00778914270671319,0.00870422662537639,0.0115116901659825
"Visa_mpagospesos",0.0077394836172596,0.00999918568384069,0.0190969123683741
"mcomisiones",0.00773735582374044,0.0113218663396225,0.0186507228270569
"Visa_Fvencimiento",0.0074202355910563,0.00729106588416965,0.0149027306799929
"ctarjeta_master",0.00711502980406948,0.00179762619971389,0.00142780653221488
"Visa_mfinanciacion_limite",0.00704910373786601,0.00951028254152526,0.0177583437444226
"Master_status",0.00667304831869676,0.00905227233988526,0.00214170979832233
"ctarjeta_visa",0.00665390357228503,0.00331098848440054,0.00124933071568802
"chomebanking_transacciones",0.00653487517227387,0.0083329305389238,0.0135641620560414
"cliente_antiguedad",0.00651632553370339,0.0106447983612415,0.0181152953774764
"Master_mfinanciacion_limite",0.00636137702994942,0.00668243992058256,0.0158843476708906
"ccomisiones_mantenimiento",0.00609528901541355,0.017110807926179,0.00615741567017669
"mautoservicio",0.00589714515867688,0.0170899683283286,0.0213278600749598
"Visa_mconsumospesos",0.00549620686983398,0.00846863453377376,0.0130287346064608
"Visa_cconsumos",0.00539206246595356,0.00763615229281257,0.0126717829734071
"mcuenta_debitos_automaticos",0.00530195845873067,0.00902007951719395,0.00919150455113332
"ccaja_seguridad",0.00513138187016337,0.0152303211622184,0.00258789933963948
"Visa_mlimitecompra",0.00507970628975851,0.00609523435319341,0.0124933071568802
"cproductos",0.00503032574524349,0.0101367934066075,0.0088345529180796
"mcaja_ahorro_dolares",0.00459905777961206,0.00914065048843343,0.0156166339461003
"Master_mlimitecompra",0.00442700785523723,0.00544658861775552,0.0116901659825094
"ctransferencias_recibidas",0.00419424347559801,0.0129462302513466,0.0118686417990362
"Visa_mconsumototal",0.00417247200928321,0.00798918088838233,0.0127610208816705
"mttarjeta_visa_debitos_automaticos",0.00392237214920867,0.00493607608930366,0.00945921827592361
"mtransferencias_emitidas",0.00370017835840417,0.00844910403696061,0.0118686417990362
"Master_mpagominimo",0.00364206863227344,0.00562966916352491,0.00812064965197216
"ccajas_transacciones",0.0036100665575459,0.0032321935085865,0.00160628234874175
"ccallcenter_transacciones",0.00356299036985215,0.0169281422363722,0.00401570587185436
"mextraccion_autoservicio",0.00346491307633032,0.0139451711425123,0.0175798679278958
"ccajas_consultas",0.00335606955369283,0.0125672086249698,0.00232018561484919
"cmobile_app_trx",0.00327720877896874,0.00482865605207597,0.00544351240406925
"mtarjeta_master_consumo",0.00325748543059777,0.00572883356709852,0.00464037122969838
"thomebanking",0.0032384242078722,0.00400322636247756,0.00401570587185436
"Master_msaldototal",0.00303268559460812,0.00866199428839217,0.00722827056933785
"matm",0.00302114785110849,0.00477979523871287,0.00758522220239158
"cextraccion_autoservicio",0.00269125718804494,0.0130861427294607,0.0130287346064608
"mpagomiscuentas",0.00251435774549795,0.00446975954939193,0.00758522220239158
"ccuenta_debitos_automaticos",0.00242965023358077,0.00756901016003456,0.00526503658754239
"Visa_mconsumosdolares",0.0024183643196747,0.00756041803209977,0.00669284311975727
"tmobile_app",0.00218218294894574,0.0153440239625229,0.00223094770658576
